Month/Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,N/A,54,56,86,65,71,65,74,71,56,82,65,96
February,N/A,37,62,67,59,64,56,67,57,55,86,61,79
March,N/A,74,50,70,79,46,71,55,69,68,76,72,80
April,57,55,66,70,71,55,60,54,64,85,65,69,59
May,71,63,82,69,76,59,62,75,48,81,76,85,65
June,45,51,51,63,69,57,46,53,61,71,73,72,54
July,65,46,66,74,60,54,65,63,73,79,68,83,54
August,54,52,73,75,56,57,48,76,43,70,57,86,66
September,47,49,57,60,67,55,76,62,58,66,63,79,67
October,65,56,73,57,80,50,58,68,64,76,85,89,69
November,53,48,64,56,62,58,77,60,61,59,78,64,60
December,46,57,60,76,67,65,56,77,69,84,93,87,66